subject,body,is_phishing
Order Confirmation,Your support ticket has been resolved.,0
Process gun more,Password expires. http://doc-share.xyz/file.pdf,1
Role product,Suspended account. http://secure-access.ml,1
Catch he strategy cold,Login immediately. http://bank-secure.gq,1
Remember guess,Document shared with you. http://bank-secure.gq,1
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Buy increase conference,Banking issue. http://password-reset.tk,1
Increase identify significant line picture,Invoice error. http://confirm-user.ga,1
HR Policy Update,Please review the updated HR policy document.,0
Door event himself,Password expires. http://password-reset.tk,1
HR Policy Update,Thank you for your order #12345.,0
Package Delivery,Thank you for your order #12345.,0
Power color open,Document shared with you. http://doc-share.xyz/file.pdf,1
Deal value science,Security alert. http://password-reset.tk,1
City wide middle long religious,Unauthorized login. http://confirm-user.ga,1
Century third during realize,Click here to update. http://confirm-user.ga,1
Authority safe child,Verify your account. http://login-security.xyz,1
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Ok two last tonight,Urgent action required. http://login-security.xyz,1
As strategy,Click here to update. http://password-reset.tk,1
Support Ticket Response,Thanks for subscribing to our newsletter!,0
Order Confirmation,Thank you for your order #12345.,0
At act cut,Payment declined. http://confirm-user.ga,1
Support Ticket Response,Your support ticket has been resolved.,0
Beat during life,Unauthorized login. http://secure-update.xyz/login,1
Outside thousand town probably officer,Suspended account. http://confirm-user.ga,1
Organization between either break,Security alert. http://secure-access.ml,1
Call benefit clear,Document shared with you. http://doc-share.xyz/file.pdf,1
Yet control,Password expires. http://doc-share.xyz/file.pdf,1
Find interest,Payment declined. http://bank-secure.gq,1
Girl bad senior,Payment declined. http://bank-secure.gq,1
Two it space eight those,Confirm your identity. http://doc-share.xyz/file.pdf,1
Leg travel listen,Click here to update. http://alert-now.cf,1
Simply they my born,Confirm your identity. http://password-reset.tk,1
Actually order guess,Payment declined. http://password-reset.tk,1
Business prevent,Click here to update. http://password-reset.tk,1
Newsletter Subscription,Please review the updated HR policy document.,0
Order Confirmation,Thanks for subscribing to our newsletter!,0
Project Status,"Dear customer, please find your invoice attached.",0
Forward example relationship series,Confirm your identity. http://bank-secure.gq,1
Package Delivery,Looking forward to our team outing next Friday!,0
Meeting Reminder,Thanks for subscribing to our newsletter!,0
Support Ticket Response,Your support ticket has been resolved.,0
Establish medical quickly official,Update required. http://doc-share.xyz/file.pdf,1
Sit college business both,Unauthorized login. http://bank-secure.gq,1
Timesheet Submission Reminder,Thank you for your order #12345.,0
Team Outing,Thank you for your order #12345.,0
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
By foot house,Reset your password. http://confirm-user.ga,1
Project Status,"Hi team, don't forget our meeting today at 2 PM.",0
Decade yeah agency production,Unauthorized login. http://bank-secure.gq,1
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Newsletter Subscription,Please review the updated HR policy document.,0
Order Confirmation,Thank you for your order #12345.,0
Package Delivery,"Hi team, don't forget our meeting today at 2 PM.",0
Process feeling song level,Urgent action required. http://confirm-user.ga,1
Package Delivery,Looking forward to our team outing next Friday!,0
After consumer character,Verify your account. http://alert-now.cf,1
Do health you,Login immediately. http://secure-update.xyz/login,1
Face throughout board,Click here to update. http://confirm-user.ga,1
Project Status,Your support ticket has been resolved.,0
Meeting Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Past stand however else,Password expires. http://password-reset.tk,1
Meeting Reminder,Thanks for subscribing to our newsletter!,0
Meeting Reminder,Thanks for subscribing to our newsletter!,0
Support Ticket Response,Reminder: Submit your timesheet by end of day Friday.,0
Share five dark matter,Update required. http://doc-share.xyz/file.pdf,1
Technology poor whose,Update required. http://login-security.xyz,1
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Forget increase term maybe I,Banking issue. http://password-reset.tk,1
Open beyond stand per,Payment declined. http://secure-update.xyz/login,1
Package Delivery,Thank you for your order #12345.,0
Project Status,Reminder: Submit your timesheet by end of day Friday.,0
Space quickly bag,Payment declined. http://secure-update.xyz/login,1
Newsletter Subscription,Please review the updated HR policy document.,0
Newsletter Subscription,Thanks for subscribing to our newsletter!,0
Add lead that wind,Payment declined. http://login-security.xyz,1
Court see than plant,Reset your password. http://doc-share.xyz/file.pdf,1
Hair indicate imagine,Security alert. http://password-reset.tk,1
Your Monthly Invoice,Here is the latest status update on Project Apollo.,0
Project Status,Thanks for subscribing to our newsletter!,0
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Really white respond compare,Login immediately. http://secure-access.ml,1
Season attack when movement simply,Security alert. http://doc-share.xyz/file.pdf,1
Worker rock,Banking issue. http://bank-secure.gq,1
Meeting Reminder,Your support ticket has been resolved.,0
Team Outing,"Dear customer, please find your invoice attached.",0
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Country break present gun,Unauthorized login. http://bank-secure.gq,1
Technology control feeling right,Click here to update. http://password-reset.tk,1
Project Status,Looking forward to our team outing next Friday!,0
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Package Delivery,Looking forward to our team outing next Friday!,0
Run particular include possible,Urgent action required. http://secure-update.xyz/login,1
Lot training radio left,Invoice error. http://secure-update.xyz/login,1
Order Confirmation,Thanks for subscribing to our newsletter!,0
Your Monthly Invoice,Reminder: Submit your timesheet by end of day Friday.,0
Series hear most data,Login immediately. http://login-security.xyz,1
Support Ticket Response,"Dear customer, please find your invoice attached.",0
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Hair region themselves truth,Confirm your identity. http://secure-access.ml,1
This almost budget sister from,Reset your password. http://login-security.xyz,1
Imagine scientist somebody memory service,Suspended account. http://secure-access.ml,1
Your Monthly Invoice,"Dear customer, please find your invoice attached.",0
Into compare low arm,Urgent action required. http://secure-update.xyz/login,1
Order Confirmation,Here is the latest status update on Project Apollo.,0
Race new,Verify your account. http://secure-update.xyz/login,1
HR Policy Update,Here is the latest status update on Project Apollo.,0
Then chair generation debate anything,Document shared with you. http://confirm-user.ga,1
Easy art company power key,Security alert. http://secure-access.ml,1
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
Support Ticket Response,Your support ticket has been resolved.,0
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Back although evening community wall,Login immediately. http://secure-access.ml,1
Somebody catch leader city base,Reset your password. http://secure-update.xyz/login,1
Author report hour final,Banking issue. http://confirm-user.ga,1
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Timesheet Submission Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Simply it difficult,Update required. http://secure-update.xyz/login,1
Wrong include clearly,Confirm your identity. http://bank-secure.gq,1
Health sort want,Click here to update. http://login-security.xyz,1
Perhaps poor source door arrive,Security alert. http://doc-share.xyz/file.pdf,1
Support Ticket Response,Thanks for subscribing to our newsletter!,0
Hold remain east tree,Suspended account. http://doc-share.xyz/file.pdf,1
Tough support officer,Suspended account. http://secure-access.ml,1
Use suddenly,Invoice error. http://password-reset.tk,1
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
Mrs sit camera seven,Unauthorized login. http://confirm-user.ga,1
Use whom buy,Suspended account. http://secure-access.ml,1
Meeting Reminder,Please review the updated HR policy document.,0
History buy debate five,Confirm your identity. http://secure-update.xyz/login,1
Appear third card,Confirm your identity. http://secure-update.xyz/login,1
Package Delivery,Here is the latest status update on Project Apollo.,0
Meeting Reminder,Looking forward to our team outing next Friday!,0
Make develop others nation,Suspended account. http://doc-share.xyz/file.pdf,1
Trip near everybody seat,Verify your account. http://secure-update.xyz/login,1
Team Outing,Please review the updated HR policy document.,0
Response what,Banking issue. http://secure-update.xyz/login,1
Woman quickly president true,Banking issue. http://doc-share.xyz/file.pdf,1
Commercial enjoy traditional,Urgent action required. http://login-security.xyz,1
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Indicate same,Unauthorized login. http://bank-secure.gq,1
Support Ticket Response,Looking forward to our team outing next Friday!,0
Writer style,Password expires. http://doc-share.xyz/file.pdf,1
Team Outing,Please review the updated HR policy document.,0
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
Save course,Invoice error. http://doc-share.xyz/file.pdf,1
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Order Confirmation,Looking forward to our team outing next Friday!,0
Feeling coach note second take,Password expires. http://login-security.xyz,1
Newsletter Subscription,Thanks for subscribing to our newsletter!,0
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Ever career collection project,Reset your password. http://secure-update.xyz/login,1
Culture way Republican focus,Update required. http://confirm-user.ga,1
Package Delivery,Looking forward to our team outing next Friday!,0
Science benefit,Security alert. http://secure-access.ml,1
Support Ticket Response,"Dear customer, please find your invoice attached.",0
Away within my consumer,Reset your password. http://secure-access.ml,1
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Order Confirmation,Reminder: Submit your timesheet by end of day Friday.,0
Where hotel rock follow,Invoice error. http://secure-update.xyz/login,1
Education hit two,Document shared with you. http://alert-now.cf,1
Upon fund,Confirm your identity. http://secure-update.xyz/login,1
Project Status,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Your Monthly Invoice,Thank you for your order #12345.,0
Home son natural reason evening,Security alert. http://login-security.xyz,1
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Your Monthly Invoice,Here is the latest status update on Project Apollo.,0
The perform,Password expires. http://secure-update.xyz/login,1
Newsletter Subscription,Thank you for your order #12345.,0
Timesheet Submission Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Timesheet Submission Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Price be while sometimes,Document shared with you. http://alert-now.cf,1
Support Ticket Response,"Dear customer, please find your invoice attached.",0
Support Ticket Response,Please review the updated HR policy document.,0
Order Confirmation,Reminder: Submit your timesheet by end of day Friday.,0
Picture including require hold even,Password expires. http://bank-secure.gq,1
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
Project Status,Thank you for your order #12345.,0
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Face can might wear,Update required. http://confirm-user.ga,1
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Most most true skin my,Update required. http://secure-access.ml,1
Project Status,Here is the latest status update on Project Apollo.,0
Under task,Verify your account. http://secure-access.ml,1
Expert treat fight,Document shared with you. http://bank-secure.gq,1
Timesheet Submission Reminder,Thank you for your order #12345.,0
Picture least,Unauthorized login. http://password-reset.tk,1
Nearly vote lose,Click here to update. http://secure-access.ml,1
Your Monthly Invoice,Please review the updated HR policy document.,0
Run popular popular,Unauthorized login. http://login-security.xyz,1
Order Confirmation,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Difficult firm war side visit,Confirm your identity. http://secure-update.xyz/login,1
Timesheet Submission Reminder,Thank you for your order #12345.,0
Your Monthly Invoice,Here is the latest status update on Project Apollo.,0
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Deep find subject research,Verify your account. http://login-security.xyz,1
Thing item direction,Document shared with you. http://login-security.xyz,1
Late couple keep,Security alert. http://login-security.xyz,1
Thing down during oil,Document shared with you. http://alert-now.cf,1
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Job capital edge,Login immediately. http://login-security.xyz,1
Team Outing,Please review the updated HR policy document.,0
Ahead nearly low,Security alert. http://secure-access.ml,1
Effort after follow religious affect,Suspended account. http://secure-access.ml,1
Identify edge today lose,Login immediately. http://secure-update.xyz/login,1
Role material natural,Payment declined. http://secure-update.xyz/login,1
East plan,Suspended account. http://doc-share.xyz/file.pdf,1
True campaign not,Banking issue. http://doc-share.xyz/file.pdf,1
Project Status,Reminder: Submit your timesheet by end of day Friday.,0
Across military eye,Update required. http://doc-share.xyz/file.pdf,1
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Lawyer member upon,Click here to update. http://password-reset.tk,1
Laugh certainly daughter,Payment declined. http://bank-secure.gq,1
Team Outing,Looking forward to our team outing next Friday!,0
Package Delivery,Thanks for subscribing to our newsletter!,0
Employee future each try,Payment declined. http://confirm-user.ga,1
Ago here,Document shared with you. http://bank-secure.gq,1
Air significant lose,Unauthorized login. http://login-security.xyz,1
Send weight,Password expires. http://password-reset.tk,1
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
Can look material another over,Confirm your identity. http://password-reset.tk,1
Evidence less serve,Password expires. http://secure-access.ml,1
Support Ticket Response,Thanks for subscribing to our newsletter!,0
Package Delivery,Here is the latest status update on Project Apollo.,0
Suddenly beautiful,Security alert. http://bank-secure.gq,1
Environmental north around,Login immediately. http://alert-now.cf,1
Nothing site once surface,Suspended account. http://password-reset.tk,1
Sing room apply however,Urgent action required. http://secure-update.xyz/login,1
HR Policy Update,Looking forward to our team outing next Friday!,0
Trial skill government follow society,Payment declined. http://alert-now.cf,1
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Lose idea picture,Payment declined. http://password-reset.tk,1
Timesheet Submission Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Gas she,Verify your account. http://password-reset.tk,1
Many indicate fact,Suspended account. http://secure-access.ml,1
Team successful time create,Click here to update. http://confirm-user.ga,1
On miss,Verify your account. http://login-security.xyz,1
Beautiful discover,Banking issue. http://login-security.xyz,1
List somebody table,Confirm your identity. http://password-reset.tk,1
Information rock,Payment declined. http://confirm-user.ga,1
HR Policy Update,Looking forward to our team outing next Friday!,0
Shoulder job choose allow,Login immediately. http://bank-secure.gq,1
Meeting Reminder,Thank you for your order #12345.,0
Ever former explain particular,Document shared with you. http://alert-now.cf,1
Newsletter Subscription,Thank you for your order #12345.,0
HR Policy Update,"Dear customer, please find your invoice attached.",0
Meeting Reminder,Thanks for subscribing to our newsletter!,0
Loss see green,Reset your password. http://alert-now.cf,1
Clearly customer among citizen,Update required. http://password-reset.tk,1
Throw enough skill so,Urgent action required. http://bank-secure.gq,1
Easy Mr,Payment declined. http://confirm-user.ga,1
Wear seem,Urgent action required. http://secure-access.ml,1
Create shake itself,Urgent action required. http://alert-now.cf,1
Project Status,Thank you for your order #12345.,0
Team Outing,Looking forward to our team outing next Friday!,0
But thousand director body,Unauthorized login. http://bank-secure.gq,1
Support Ticket Response,"Dear customer, please find your invoice attached.",0
Past first debate,Confirm your identity. http://login-security.xyz,1
Support Ticket Response,Please review the updated HR policy document.,0
Just out old,Unauthorized login. http://password-reset.tk,1
Fire ten do well,Urgent action required. http://login-security.xyz,1
Especially suffer answer,Unauthorized login. http://secure-update.xyz/login,1
Training economic perhaps actually officer,Urgent action required. http://confirm-user.ga,1
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Threat impact relate car,Update required. http://password-reset.tk,1
Night drive agency,Reset your password. http://confirm-user.ga,1
Push most quickly,Login immediately. http://confirm-user.ga,1
Instead statement somebody water,Login immediately. http://doc-share.xyz/file.pdf,1
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Entire note science tough together,Urgent action required. http://bank-secure.gq,1
College hand door job,Update required. http://password-reset.tk,1
Project Status,Looking forward to our team outing next Friday!,0
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
Task education I,Banking issue. http://secure-access.ml,1
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Several benefit risk American range,Document shared with you. http://secure-access.ml,1
HR Policy Update,Thanks for subscribing to our newsletter!,0
HR Policy Update,Thank you for your order #12345.,0
Timesheet Submission Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Get never save compare,Confirm your identity. http://login-security.xyz,1
Miss set local window,Reset your password. http://alert-now.cf,1
Most it,Unauthorized login. http://alert-now.cf,1
Package Delivery,Thank you for your order #12345.,0
Package Delivery,Looking forward to our team outing next Friday!,0
Friend chance,Suspended account. http://bank-secure.gq,1
Science population,Unauthorized login. http://bank-secure.gq,1
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Performance drive purpose,Unauthorized login. http://secure-update.xyz/login,1
Your Monthly Invoice,Please review the updated HR policy document.,0
The wide TV identify Mr,Banking issue. http://password-reset.tk,1
HR Policy Update,Please review the updated HR policy document.,0
Article his born trip,Reset your password. http://secure-access.ml,1
Order Confirmation,Reminder: Submit your timesheet by end of day Friday.,0
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Every student month Republican citizen,Verify your account. http://login-security.xyz,1
Project Status,Thanks for subscribing to our newsletter!,0
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Your Monthly Invoice,Your support ticket has been resolved.,0
Animal picture lead center member,Click here to update. http://login-security.xyz,1
And rule,Banking issue. http://secure-access.ml,1
Line wonder,Urgent action required. http://confirm-user.ga,1
Many in fight wear future,Login immediately. http://secure-update.xyz/login,1
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
Capital southern top,Click here to update. http://doc-share.xyz/file.pdf,1
Bad notice receive,Verify your account. http://doc-share.xyz/file.pdf,1
Timesheet Submission Reminder,Here is the latest status update on Project Apollo.,0
Despite training plan follow member,Security alert. http://secure-update.xyz/login,1
Ago usually purpose perform,Update required. http://doc-share.xyz/file.pdf,1
Rate pretty decision,Verify your account. http://secure-update.xyz/login,1
Ok class not smile condition,Suspended account. http://alert-now.cf,1
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
South could fast manage oil,Unauthorized login. http://password-reset.tk,1
HR Policy Update,Thank you for your order #12345.,0
Project Status,Please review the updated HR policy document.,0
Media save room mission read,Invoice error. http://login-security.xyz,1
Computer eat traditional,Confirm your identity. http://confirm-user.ga,1
Down ten modern student,Password expires. http://password-reset.tk,1
Project Status,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Game decade clearly,Confirm your identity. http://secure-update.xyz/login,1
Package Delivery,Looking forward to our team outing next Friday!,0
Meeting Reminder,"Dear customer, please find your invoice attached.",0
Recognize officer,Payment declined. http://secure-access.ml,1
Above marriage three business,Update required. http://confirm-user.ga,1
Pass newspaper city box individual,Urgent action required. http://confirm-user.ga,1
Room able majority,Login immediately. http://secure-access.ml,1
Support Ticket Response,Please review the updated HR policy document.,0
Red eat themselves,Invoice error. http://login-security.xyz,1
Can occur,Reset your password. http://secure-access.ml,1
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Participant study so,Urgent action required. http://alert-now.cf,1
Meeting Reminder,Looking forward to our team outing next Friday!,0
Team Outing,Thank you for your order #12345.,0
Water current herself degree,Security alert. http://password-reset.tk,1
More that,Unauthorized login. http://bank-secure.gq,1
Market me time campaign unit,Urgent action required. http://doc-share.xyz/file.pdf,1
Certain security view treat candidate,Invoice error. http://alert-now.cf,1
Start who argue,Confirm your identity. http://confirm-user.ga,1
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Support Ticket Response,Please review the updated HR policy document.,0
Order Confirmation,Here is the latest status update on Project Apollo.,0
Package Delivery,Thank you for your order #12345.,0
Newsletter Subscription,Thank you for your order #12345.,0
Meeting Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Support Ticket Response,Thanks for subscribing to our newsletter!,0
Project Status,Thanks for subscribing to our newsletter!,0
Support Ticket Response,Please review the updated HR policy document.,0
Plan author computer,Payment declined. http://login-security.xyz,1
Instead cause,Reset your password. http://alert-now.cf,1
Ever left certain amount,Invoice error. http://doc-share.xyz/file.pdf,1
Brother one plan,Update required. http://login-security.xyz,1
Sport glass test,Urgent action required. http://secure-access.ml,1
Million day talk around,Security alert. http://bank-secure.gq,1
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Determine president,Banking issue. http://doc-share.xyz/file.pdf,1
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
According measure source section,Document shared with you. http://bank-secure.gq,1
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
Hard effect,Invoice error. http://alert-now.cf,1
Project Status,Here is the latest status update on Project Apollo.,0
Technology political among Mr,Password expires. http://secure-access.ml,1
Meeting Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Pass west service office,Document shared with you. http://bank-secure.gq,1
Order Confirmation,Thanks for subscribing to our newsletter!,0
Provide discover,Unauthorized login. http://bank-secure.gq,1
HR Policy Update,Thanks for subscribing to our newsletter!,0
Road election glass end,Payment declined. http://alert-now.cf,1
Newsletter Subscription,Please review the updated HR policy document.,0
Sound not star,Update required. http://bank-secure.gq,1
Your Monthly Invoice,Here is the latest status update on Project Apollo.,0
Chance daughter me,Payment declined. http://doc-share.xyz/file.pdf,1
HR Policy Update,Your support ticket has been resolved.,0
Sister best month phone according,Payment declined. http://secure-update.xyz/login,1
Team Outing,Reminder: Submit your timesheet by end of day Friday.,0
Package Delivery,Your support ticket has been resolved.,0
Main black measure strong east,Password expires. http://confirm-user.ga,1
Visit experience simple,Click here to update. http://secure-access.ml,1
Order Confirmation,Looking forward to our team outing next Friday!,0
Project Status,"Dear customer, please find your invoice attached.",0
Order Confirmation,Your support ticket has been resolved.,0
Son scene campaign,Password expires. http://login-security.xyz,1
Package Delivery,Please review the updated HR policy document.,0
Reflect reason all down list,Confirm your identity. http://alert-now.cf,1
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Project Status,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Your Monthly Invoice,Please review the updated HR policy document.,0
Your Monthly Invoice,"Dear customer, please find your invoice attached.",0
Package Delivery,Looking forward to our team outing next Friday!,0
Order Confirmation,Thank you for your order #12345.,0
Project Status,Reminder: Submit your timesheet by end of day Friday.,0
Order Confirmation,Here is the latest status update on Project Apollo.,0
Style manager,Unauthorized login. http://secure-update.xyz/login,1
Newsletter Subscription,Your support ticket has been resolved.,0
Adult item maybe ground themselves,Click here to update. http://password-reset.tk,1
Support Ticket Response,"Dear customer, please find your invoice attached.",0
Project Status,Your support ticket has been resolved.,0
Me exist power television establish,Confirm your identity. http://alert-now.cf,1
Package Delivery,Please review the updated HR policy document.,0
Meeting Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Package Delivery,Here is the latest status update on Project Apollo.,0
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Line somebody power,Update required. http://secure-access.ml,1
HR Policy Update,"Hi team, don't forget our meeting today at 2 PM.",0
Order Confirmation,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Order Confirmation,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Timesheet Submission Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Fill trouble live,Document shared with you. http://alert-now.cf,1
Your Monthly Invoice,Your support ticket has been resolved.,0
Reality fund possible exist,Suspended account. http://login-security.xyz,1
Your Monthly Invoice,"Dear customer, please find your invoice attached.",0
Produce enjoy join word deal,Document shared with you. http://secure-update.xyz/login,1
Meet door,Verify your account. http://secure-update.xyz/login,1
Package Delivery,Thank you for your order #12345.,0
Plant hair could drop,Banking issue. http://secure-access.ml,1
Timesheet Submission Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Impact front state,Payment declined. http://login-security.xyz,1
Side sometimes during past,Verify your account. http://bank-secure.gq,1
Southern manage sit,Security alert. http://doc-share.xyz/file.pdf,1
History kitchen bring,Login immediately. http://password-reset.tk,1
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Recognize read always,Update required. http://secure-access.ml,1
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Responsibility travel common modern local,Update required. http://bank-secure.gq,1
Meeting Reminder,Thanks for subscribing to our newsletter!,0
Office station red,Document shared with you. http://password-reset.tk,1
Head way seek,Password expires. http://password-reset.tk,1
Package Delivery,Please review the updated HR policy document.,0
Package Delivery,Please review the updated HR policy document.,0
Project Status,Thanks for subscribing to our newsletter!,0
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Lawyer local term throw,Security alert. http://login-security.xyz,1
Everyone along recognize million,Password expires. http://secure-access.ml,1
Meeting Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Timesheet Submission Reminder,Thank you for your order #12345.,0
Support Ticket Response,Thank you for your order #12345.,0
Support Ticket Response,Please review the updated HR policy document.,0
Timesheet Submission Reminder,Please review the updated HR policy document.,0
Service involve herself room movie,Document shared with you. http://bank-secure.gq,1
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Natural conference create study chair,Payment declined. http://alert-now.cf,1
Team Outing,Please review the updated HR policy document.,0
HR Policy Update,Reminder: Submit your timesheet by end of day Friday.,0
Meeting Reminder,Thank you for your order #12345.,0
Team Outing,Looking forward to our team outing next Friday!,0
Project Status,Reminder: Submit your timesheet by end of day Friday.,0
Support Ticket Response,Thanks for subscribing to our newsletter!,0
Timesheet Submission Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Wear condition continue really near,Click here to update. http://alert-now.cf,1
Package Delivery,Looking forward to our team outing next Friday!,0
Trial financial chance,Password expires. http://secure-access.ml,1
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Eat according friend cause,Security alert. http://confirm-user.ga,1
Control happy they politics,Reset your password. http://password-reset.tk,1
Learn machine,Confirm your identity. http://doc-share.xyz/file.pdf,1
Meeting Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Simple last group notice,Payment declined. http://password-reset.tk,1
Within because,Document shared with you. http://login-security.xyz,1
Seem friend knowledge care professional,Password expires. http://login-security.xyz,1
Hear star consumer,Document shared with you. http://secure-access.ml,1
See plan out and,Invoice error. http://secure-access.ml,1
Order Confirmation,Here is the latest status update on Project Apollo.,0
Join family during,Document shared with you. http://alert-now.cf,1
First small suddenly between knowledge,Verify your account. http://bank-secure.gq,1
Research government performance while,Login immediately. http://password-reset.tk,1
Newsletter Subscription,Thanks for subscribing to our newsletter!,0
Project Status,Reminder: Submit your timesheet by end of day Friday.,0
Force make,Login immediately. http://login-security.xyz,1
Exist we bank,Login immediately. http://secure-access.ml,1
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Against sign,Update required. http://password-reset.tk,1
Order Confirmation,Your support ticket has been resolved.,0
Play any ahead,Payment declined. http://confirm-user.ga,1
Support Ticket Response,Looking forward to our team outing next Friday!,0
Project Status,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
Newsletter Subscription,Thank you for your order #12345.,0
Team Outing,Thanks for subscribing to our newsletter!,0
Cell learn beyond record,Payment declined. http://alert-now.cf,1
HR Policy Update,"Hi team, don't forget our meeting today at 2 PM.",0
War federal,Verify your account. http://secure-access.ml,1
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Seven or side,Login immediately. http://login-security.xyz,1
Ready green join need,Security alert. http://doc-share.xyz/file.pdf,1
Method team culture,Banking issue. http://password-reset.tk,1
Child live partner produce north,Suspended account. http://secure-update.xyz/login,1
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
Order Confirmation,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Ago hundred real believe,Unauthorized login. http://secure-update.xyz/login,1
Support Ticket Response,Thanks for subscribing to our newsletter!,0
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Timesheet Submission Reminder,Please review the updated HR policy document.,0
Poor marriage above later care,Suspended account. http://secure-update.xyz/login,1
Mission and pass,Confirm your identity. http://alert-now.cf,1
Accept story box democratic,Payment declined. http://secure-access.ml,1
Food nice bag far feeling,Unauthorized login. http://confirm-user.ga,1
